sampleNo	HSrunNumber	wormStrain	stage	bacterium	replicate
1	678	n2	adults	hb101	1
2	678	n2	adults	hb101	2
3	678	n2	adults	hb101	3
4	678	n2	adults	BIGb446	1
5	678	n2	adults	BIGb446	2
6	678	n2	adults	BIGb446	3
7	678	n2	adults	BIGb468	1
8	678	n2	adults	BIGb468	2
9	678	n2	adults	BIGb468	3
10	678	n2	embryos	hb101	1
11	678	n2	embryos	hb101	2
12	678	n2	embryos	hb101	3
13	678	n2	embryos	BIGb446	1
14	678	n2	embryos	BIGb446	2
15	678	n2	embryos	BIGb446	3
16	678	n2	embryos	BIGb468	1
17	678	n2	embryos	BIGb468	2
18	678	n2	embryos	BIGb468	3
1	755	n2	embryos	hb101	1
2	755	n2	embryos	hb101	2
3	755	n2	embryos	hb101	3
4	755	n2	embryos	pa14	1
5	755	n2	embryos	pa14	2
6	755	n2	embryos	pa14	3
7	755	n2	embryos	plum	1
8	755	n2	embryos	plum	2
9	755	n2	embryos	plum	3
10	755	nob27	embryos	hb101	1
11	755	nob27	embryos	hb101	2
12	755	nob27	embryos	hb101	3
